DHB,Date,Cases,Population
Canterbury,2011-01-31,83,500719
Canterbury,2011-02-28,54,500019
Canterbury,2011-03-31,80,499402
Canterbury,2011-04-30,57,498869
Canterbury,2011-05-31,61,498422
Canterbury,2011-06-30,57,498061
Canterbury,2011-07-31,57,497789
Canterbury,2011-08-31,77,497606
Canterbury,2011-09-30,66,497515
Canterbury,2011-10-31,59,497516
Canterbury,2011-11-30,83,497610
Canterbury,2011-12-31,144,497800
Canterbury,2012-01-31,159,498084
Canterbury,2012-02-29,128,498453
Canterbury,2012-03-31,82,498896
Canterbury,2012-04-30,62,499401
Canterbury,2012-05-31,112,499957
Canterbury,2012-06-30,62,500551
Canterbury,2012-07-31,34,501174
Canterbury,2012-08-31,95,501812
Canterbury,2012-09-30,73,502456
Canterbury,2012-10-31,111,503093
Canterbury,2012-11-30,108,503711
Canterbury,2012-12-31,93,504300
Canterbury,2013-01-31,90,504851
Canterbury,2013-02-28,67,505373
Canterbury,2013-03-31,61,505874
Canterbury,2013-04-30,36,506367
Canterbury,2013-05-31,49,506862
