School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Glenfield Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Glenfield Primary School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Glenham School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Glenholme School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Gleniti School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Glenorchy School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Queenstown-Lakes
Glentunnel School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Glenview School (Hamilton),Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Glenview School (Porirua East),Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
Gloriavale Christian Community School,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,West Coast,Grey
Golden Bay High School,Secondary,Secondary (Year 7-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Golden Grove School,Primary,Full Primary,Private: Fully Reg.,NA,Co-Ed,Organisational Affiliation,Montessori,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Golden Sands School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Goldfields School (Cromwell),Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Central Otago
Goldfields School (Paeroa),Special,Special School,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Waikato,Hauraki
Gonville School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Good Shepherd School (Balmoral),Primary,Contributing,State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Albert-Eden
Goodwood School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Gordonton School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Gore High School,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Southland,Gore
Gore Main School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Gore
Gorge Road School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Governors Bay School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Sch. with Side School,Not a Kura School,Canterbury,Christchurch
Gracefield School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Granity School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Buller
Grantlea Downs School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Grants Braes School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Green Bay High School,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Green Bay Primary School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Green Island School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Green School New Zealand,Composite,Composite (Year 1-15),Private: Prov.Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Greenacres School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Greendale School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Greenhithe School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Greenmeadows Intermediate,Primary,Intermediate,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Greenmeadows School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Greenpark School (Tauranga),Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Greerton Village School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Greta Valley School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Grey Lynn School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
Greymouth High School,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Greymouth Main School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Greytown School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,South Wairarapa
Grovetown School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Gulf Harbour School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Hibiscus and Bays
Haast School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Westland
Hadlow Preparatory School,Primary,Full Primary,State: Integrated,9,Co-Ed,Religious Affiliation,Anglican,Not Applicable,Not a Kura School,Wellington,Masterton
Haeata Community Campus,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Hagley Community College,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Canterbury,Christchurch
Halcombe Primary School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Halfmoon Bay School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Halfway Bush School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Halsey Drive School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Puketapapa
Halswell Residential College,Special,Special School,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Canterbury,Christchurch
Halswell School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Hamilton Boys' High School,Secondary,Secondary (Year 9-15),State: Not integrated,7,Single Sex-Boys,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Waikato,Hamilton
Hamilton Christian School,Composite,Composite (Year 1-15),Private: Fully Reg.,9,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Waikato,Hamilton
Hamilton East School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Hamilton Girls' High School,Secondary,Secondary (Year 9-15),State: Not integrated,6,Single Sex-Girls,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Waikato,Hamilton
Hamilton Junior High School,Composite,Restricted Composite (Year 7-10),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Restricted Composite (Year 7-10),Not a Kura School,Waikato,Hamilton
Hamilton North School,Special,Special School,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Waikato,Hamilton
Hamilton Seventh-Day Adventist School,Primary,Full Primary,State: Integrated,6,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Not a Kura School,Waikato,Waikato
Hamilton West School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Hampden School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Waitaki
Hampden Street School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Hampstead School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Hampton Hill School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Hanmer Springs School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Hapuku School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Canterbury,Kaikoura
Harbour Montessori College,Secondary,Secondary (Year 7-15),Private: Prov.Reg.,NA,Co-Ed,Organisational Affiliation,Montessori,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Hare Krishna School,Composite,Composite (Year 1-15),State: Integrated,5,Co-Ed,Religious Affiliation,Hare Krishna,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Harewood School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Harrisville School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Hastings Boys' High School,Secondary,Secondary (Year 9-15),State: Not integrated,2,Single Sex-Boys,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hastings Central School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hastings Christian School,Composite,Composite (Year 1-15),State: Integrated,7,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hastings Girls' High School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Single Sex-Girls,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hastings Intermediate,Primary,Intermediate,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hataitai School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Hatea-A-Rangi,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Hato Paora College,Secondary,Secondary (Year 9-15),State: Integrated,4,Single Sex-Boys,Religious Affiliation,Roman Catholic,Secondary Māori Boarding School,Not a Kura School,Manawatu-Whanganui,Manawatu
Haumoana School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hauraki Plains College,Secondary,Secondary (Year 9-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hauraki
Hauraki School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Hauroko Valley Primary School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Hautapu School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Hauturu School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Otorohanga
Havelock North High School,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Havelock North Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Havelock North Primary School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Havelock School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Hawea Flat School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Queenstown-Lakes
Hawera Christian School,Primary,Full Primary,State: Integrated,6,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Hawera High School,Secondary,Secondary (Year 9-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Hawera Intermediate,Primary,Intermediate,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Hawera Primary School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Hawke's Bay School for Teenage Parents,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Hay Park School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Puketapapa
He Huarahi Tamariki,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
He Mataariki School for Teen Parents,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Heathcote Valley School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Heaton Normal Intermediate,Primary,Intermediate,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Canterbury,Christchurch
Heddon Bush School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Hedgehope School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Helensville School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Henderson - Teen Parent Unit - He Wero o nga Wahine,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Henderson High School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Henderson Intermediate,Primary,Intermediate,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Henderson North School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Henderson School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Henderson South School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Henderson Valley School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitakere Ranges
Henley School (Nelson),Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Henry Hill School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Herekino School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Heretaunga College,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Upper Hutt
Heretaunga Intermediate,Primary,Intermediate,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Hereworth School,Primary,Full Primary,Private: Fully Reg.,10,Single Sex-Boys,Religious Affiliation,Anglican,School with Boarding Facilities,Not a Kura School,Hawkes Bay,Hastings
Heriot School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Highfield School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Highlands Intermediate,Primary,Intermediate,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Hikuai School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Thames-Coromandel
Hikurangi School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Hikutaia School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Thames-Coromandel
Hillcrest High School,Secondary,Secondary (Year 9-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Hillcrest Normal School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Waikato,Hamilton
Hillmorton High School,Secondary,Secondary (Year 7-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Hillpark School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Hillsborough School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Puketapapa
Hillside Primary School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Hilltop School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Taupo
Hillview Christian School,Composite,Composite (Year 1-15),State: Integrated,7,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Canterbury,Christchurch
Hinds School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Hingaia Peninsula School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Hinuera School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Matamata-Piako
Hira School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Hiruharama School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Bilingual School,Not a Kura School,Gisborne,Gisborne
Hiwinui School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Hobsonville Point Primary School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Hobsonville Point Secondary School,Secondary,Secondary (Year 9-15),State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Hobsonville School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Hohepa School,Composite,Composite (Year 1-15),Private: Fully Reg.,8,Co-Ed,Organisational Affiliation,Rudolf Steiner,Sch. for Intellectual Impairments,Not a Kura School,Hawkes Bay,Napier
Hokitika School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Westland
Hokowhitu School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Holy Cross Catholic School (Henderson),Primary,Full Primary,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Holy Cross School (Miramar),Primary,Full Primary,State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Wellington
Holy Cross School (Papatoetoe),Primary,Full Primary,State: Integrated,2,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Holy Family School (Porirua),Primary,Contributing,State: Integrated,1,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Porirua
Holy Family School (Wanaka),Primary,Full Primary,State: Integrated,10,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Otago,Queenstown-Lakes
Holy Trinity Catholic Primary School,Primary,Full Primary,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Homai School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Hoon Hay School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Hope School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Hora Hora School (Te Mai),Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Horahora School (Cambridge),Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Horeke School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Northland,Far North
Horizon School,Composite,Composite (Year 1-15),State: Integrated,6,Co-Ed,Religious Affiliation,Baptist,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Hornby High School,Secondary,Secondary (Year 7-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Hornby Primary School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Horohoro School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Rotorua
Hororata School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Horotiu School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Horowhenua College,Secondary,Secondary (Year 9-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Horowhenua
Horsham Downs School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Houghton Valley School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Howick College,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Howick Intermediate,Primary,Intermediate,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Howick Primary School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Huanui College,Secondary,Secondary (Year 7-15),Private: Fully Reg.,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Huapai District School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Huia Range School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Tararua
Huiakama School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,Stratford
Huirangi School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Hukanui School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
