School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Te Kura Toitu o Te Whaiti-nui-a-Toi,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Whakatane
Te Kura-a-iwi o Whakatupuranga Rua Mano,Composite,Composite (Year 1-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Wellington,Kapiti Coast
Te Mahia School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Wairoa
Te Mahoe School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Whakatane
Te Mata School (Havelock North),Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Te Mata School (Raglan),Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Matauranga,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Auckland,Auckland: Manurewa
Te Miro School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Te One School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Chatham Is. County,Chatham Islands Territory
Te Pa o Rakaihautu,Composite,Composite (Year 1-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Canterbury,Christchurch
Te Pahu School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
