DHB,Date,Age,Ethnicity,Eligible,Immunised
Auckland,2013-06-30,12 months,Asian,450,437
Auckland,2013-06-30,12 months,Maori,171,153
Auckland,2013-06-30,12 months,NZE,436,418
Auckland,2013-06-30,12 months,Other,214,188
Auckland,2013-06-30,12 months,Pacific,309,290
Auckland,2013-06-30,12 months,Total,1580,1486
Auckland,2013-06-30,18 months,Asian,390,350
Auckland,2013-06-30,18 months,Maori,180,142
Auckland,2013-06-30,18 months,NZE,437,386
Auckland,2013-06-30,18 months,Other,243,196
Auckland,2013-06-30,18 months,Pacific,269,222
Auckland,2013-06-30,18 months,Total,1519,1296
Auckland,2013-06-30,24 months,Asian,391,374
Auckland,2013-06-30,24 months,Maori,222,199
Auckland,2013-06-30,24 months,NZE,404,379
Auckland,2013-06-30,24 months,Other,220,204
Auckland,2013-06-30,24 months,Pacific,283,264
Auckland,2013-06-30,24 months,Total,1520,1420
Auckland,2013-06-30,5 years,Asian,337,266
Auckland,2013-06-30,5 years,Maori,187,141
Auckland,2013-06-30,5 years,NZE,411,349
Auckland,2013-06-30,5 years,Other,259,192
Auckland,2013-06-30,5 years,Pacific,320,251
Auckland,2013-06-30,5 years,Total,1514,1199
Auckland,2013-09-30,6 months,Asian,420,388
Auckland,2013-09-30,6 months,Maori,184,121
Auckland,2013-09-30,6 months,NZE,439,374
Auckland,2013-09-30,6 months,Other,181,144
Auckland,2013-09-30,6 months,Pacific,270,219
Auckland,2013-09-30,6 months,Total,1494,1246
Auckland,2013-09-30,8 months,Asian,490,475
Auckland,2013-09-30,8 months,Maori,185,165
Auckland,2013-09-30,8 months,NZE,430,403
Auckland,2013-09-30,8 months,Other,216,197
Auckland,2013-09-30,8 months,Pacific,307,288
Auckland,2013-09-30,8 months,Total,1628,1528
Auckland,2013-09-30,12 months,Asian,479,461
Auckland,2013-09-30,12 months,Maori,194,177
Auckland,2013-09-30,12 months,NZE,397,372
Auckland,2013-09-30,12 months,Other,223,212
Auckland,2013-09-30,12 months,Pacific,284,265
Auckland,2013-09-30,12 months,Total,1577,1487
Auckland,2013-09-30,18 months,Asian,431,393
Auckland,2013-09-30,18 months,Maori,192,154
Auckland,2013-09-30,18 months,NZE,442,378
Auckland,2013-09-30,18 months,Other,225,178
Auckland,2013-09-30,18 months,Pacific,320,271
Auckland,2013-09-30,18 months,Total,1610,1374
Auckland,2013-09-30,24 months,Asian,448,438
Auckland,2013-09-30,24 months,Maori,212,195
Auckland,2013-09-30,24 months,NZE,377,354
Auckland,2013-09-30,24 months,Other,243,225
Auckland,2013-09-30,24 months,Pacific,324,311
Auckland,2013-09-30,24 months,Total,1604,1523
Auckland,2013-09-30,5 years,Asian,385,299
Auckland,2013-09-30,5 years,Maori,179,136
Auckland,2013-09-30,5 years,NZE,376,295
Auckland,2013-09-30,5 years,Other,266,196
Auckland,2013-09-30,5 years,Pacific,349,293
Auckland,2013-09-30,5 years,Total,1555,1219
Auckland,2013-12-31,6 months,Asian,433,385
Auckland,2013-12-31,6 months,Maori,197,133
Auckland,2013-12-31,6 months,NZE,398,335
Auckland,2013-12-31,6 months,Other,197,160
Auckland,2013-12-31,6 months,Pacific,267,203
Auckland,2013-12-31,6 months,Total,1492,1216
Auckland,2013-12-31,8 months,Asian,436,419
Auckland,2013-12-31,8 months,Maori,186,170
Auckland,2013-12-31,8 months,NZE,410,381
Auckland,2013-12-31,8 months,Other,187,173
Auckland,2013-12-31,8 months,Pacific,269,251
Auckland,2013-12-31,8 months,Total,1488,1394
Auckland,2013-12-31,12 months,Asian,532,522
Auckland,2013-12-31,12 months,Maori,204,189
Auckland,2013-12-31,12 months,NZE,442,418
Auckland,2013-12-31,12 months,Other,223,205
Auckland,2013-12-31,12 months,Pacific,321,315
Auckland,2013-12-31,12 months,Total,1722,1649
Auckland,2013-12-31,18 months,Asian,444,404
Auckland,2013-12-31,18 months,Maori,192,148
Auckland,2013-12-31,18 months,NZE,425,361
Auckland,2013-12-31,18 months,Other,208,166
Auckland,2013-12-31,18 months,Pacific,293,247
Auckland,2013-12-31,18 months,Total,1562,1326
Auckland,2013-12-31,24 months,Asian,385,372
Auckland,2013-12-31,24 months,Maori,181,164
